% t(s)		(h)_i (i=1,#sensors)		(hu)_i (i=1,#sensors)
   0.000E+00     4.998E+00     0.000E+00
   5.713E+00     4.997E+00   112.085E-06
  11.426E+00     4.997E+00   224.167E-06
  17.138E+00     4.997E+00   336.241E-06
  22.851E+00     4.997E+00   448.302E-06
  25.708E+00     4.997E+00   504.327E-06
  31.421E+00     4.997E+00   616.360E-06
  37.134E+00     4.997E+00   728.362E-06
  42.848E+00     4.996E+00   840.324E-06
  45.704E+00     4.996E+00   896.285E-06
  51.418E+00     4.996E+00     1.008E-03
  57.132E+00     4.995E+00     1.120E-03
  62.846E+00     4.995E+00     1.234E-03
  65.704E+00     4.994E+00     1.295E-03
  71.418E+00     4.994E+00     1.408E-03
  77.134E+00     4.993E+00     1.436E-03
  82.849E+00     4.992E+00     1.314E-03
  85.707E+00     4.992E+00     1.215E-03
  91.423E+00     4.992E+00   999.668E-06
  97.139E+00     4.991E+00   809.780E-06
 102.855E+00     4.991E+00   666.402E-06
 105.714E+00     4.991E+00   613.016E-06
 111.430E+00     4.991E+00   534.662E-06
 117.147E+00     4.990E+00   477.603E-06
 120.006E+00     4.990E+00   451.998E-06
 125.723E+00     4.990E+00   403.081E-06
 131.440E+00     4.990E+00   360.167E-06
 137.157E+00     4.990E+00   329.909E-06
 140.015E+00     4.990E+00   320.274E-06
 145.733E+00     4.990E+00   309.044E-06
 151.450E+00     4.989E+00   302.974E-06
 157.168E+00     4.989E+00   298.288E-06
 160.026E+00     4.989E+00   296.320E-06
 165.744E+00     4.989E+00   293.739E-06
 171.461E+00     4.989E+00   293.186E-06
 177.179E+00     4.989E+00   293.768E-06
 180.038E+00     4.989E+00   294.086E-06
 185.756E+00     4.989E+00   294.276E-06
 191.473E+00     4.989E+00   293.475E-06
 197.191E+00     4.988E+00   291.406E-06
 200.050E+00     4.988E+00   289.995E-06
 205.768E+00     4.988E+00   287.796E-06
 211.486E+00     4.988E+00   288.263E-06
 217.205E+00     4.988E+00   282.558E-06
 220.064E+00     4.988E+00   251.271E-06
 225.782E+00     4.988E+00    73.116E-06
 231.500E+00     4.988E+00  -188.827E-06
 237.218E+00     4.988E+00  -351.771E-06
 240.077E+00     4.988E+00  -414.282E-06
 245.795E+00     4.989E+00  -513.197E-06
 251.513E+00     4.989E+00  -512.826E-06
 257.231E+00     4.989E+00  -447.885E-06
 260.090E+00     4.989E+00  -411.388E-06
 265.808E+00     4.989E+00  -334.293E-06
 271.525E+00     4.989E+00  -265.550E-06
 277.242E+00     4.990E+00  -187.517E-06
 280.101E+00     4.990E+00  -138.246E-06
 285.818E+00     4.990E+00   -47.047E-06
 291.536E+00     4.990E+00    17.818E-06
